stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1,Rafelbunyol,,39.5885238647,-0.3310583234,B,
2,La Pobla de Farnals,,39.5794181824,-0.3304361105,B,
3,Massamagrell,,39.5705604553,-0.3330333233,B,
4,Museros,,39.5615768433,-0.3408555686,B,
5,Albalat dels Sorells,,39.5452651978,-0.3482888937,B,
6,Foios,,39.5372238159,-0.3538694382,B,
7,Meliana,,39.5280303955,-0.3518194556,B,
8,Almàssera,,39.5122566223,-0.3542666733,B,
9,Alboraya-Peris Aragó,,39.5007629395,-0.3523277640,A,
10,Alboraya-Palmaret,,39.4956626892,-0.3552222252,A,
11,Machado,,39.4924316406,-0.3587944508,A,
12,Benimaclet,,39.4848518372,-0.3623333275,A,
13,Facultats,,39.4780044556,-0.3619055450,A,
14,Alameda,,39.4731559753,-0.3653166592,A,
15,Colón,,39.4701461792,-0.3709277809,A,
16,Xàtiva,,39.4671859741,-0.3773750067,A,
17,Àngel Guimerà,,39.4703025818,-0.3850361109,A,
18,Av. del Cid,,39.4682197571,-0.3975749910,A,
19,Nou d'Octubre,,39.4706573486,-0.4076305628,A,
20,Mislata,,39.4738235474,-0.4183055460,A,
21,Mislata - Almassil,,39.4760093689,-0.4243694544,A,
200,Faitanar,,39.4776191711,-0.4331833422,B,
23,Amistat-Casa de Salud,,39.4703330994,-0.3503944576,A,
24,Aragón,,39.4726257324,-0.3581166565,A,
25,Jesús,,39.4592018127,-0.3845416605,A,
26,Patraix,,39.4564514160,-0.3905083239,A,
27,Safranar,,39.4545707703,-0.3983833194,A,
28,Sant Isidre,,39.4510345459,-0.4028027654,A,
30,València Sud,,39.4408111572,-0.4106472135,A,
31,Paiporta,,39.4322624207,-0.4180611074,B,
32,Picanya,,39.4331207275,-0.4371583462,B,
33,Torrent,,39.4346466064,-0.4609861076,B,
34,Torrent Avinguda,,39.4318122864,-0.4728333354,B,
35,Villanueva de Castellón,,39.0840072632,-0.5160138607,D,
36,Alberic,,39.1170501709,-0.5235260129,D,
37,Massalavés,,39.1438064575,-0.5187610984,D,
38,Montortal,,39.1737976074,-0.5158861279,D,
39,L'Alcúdia,,39.1938133240,-0.5102638602,C,
40,Benimodo,,39.2162933350,-0.5196194649,C,
41,Carlet,,39.2267990112,-0.5249416828,C,
42,Ausiàs March,,39.2495574951,-0.4919772148,C,
44,Font Almaguer,,39.2894058228,-0.4640861154,C,
45,Espioca,,39.3218841553,-0.4667472243,C,
46,Omet,,39.3532447815,-0.4736869931,C,
47,Picassent,,39.3630371094,-0.4648583233,C,
48,Sant Ramon,,39.3848648071,-0.4672611058,C,
49,Realón,,39.3939056396,-0.4640137851,C,
50,Col·legi El Vedat,,39.4231338501,-0.4606527686,B,
51,Pl. Espanya,,39.4662017822,-0.3816333413,A,
52,Túria,,39.4788665771,-0.3912055492,A,
53,Campanar,,39.4846305847,-0.3950361013,A,
54,Beniferri,,39.4910316467,-0.3993369341,A,
55,Empalme,,39.4995765686,-0.4021083415,A,
56,Canterería,,39.5023803711,-0.4120722115,A,
57,Benimàmet,,39.5018768311,-0.4194111228,A,
58,Les Carolines/Fira,,39.4987373352,-0.4254194498,A,
59,Campament,,39.4958457947,-0.4353230000,B,
60,Paterna,,39.4988098145,-0.4419719875,B,
61,Santa Rita,,39.5056571960,-0.4551055431,B,
62,Fuente del Jarro,,39.5111732483,-0.4645166695,B,
63,La Canyada,,39.5268058777,-0.4871222079,B,
64,La Vallesa,,39.5378417969,-0.4979777634,B,
65,Entrepins,,39.5433349609,-0.5139539838,C,
66,Montesol,,39.5555725098,-0.5316972136,C,
67,L'Eliana,,39.5618324280,-0.5359194279,C,
68,La Pobla de Vallbona,,39.5827636719,-0.5622777939,C,
69,Benaguasil 1r,,39.5927238464,-0.5780805349,C,
70,Benaguasil 2n,,39.5988807678,-0.5839277506,C,
71,Llíria,,39.6228408813,-0.5902777910,C,
72,Burjassot,,39.5084152222,-0.4067361057,B,
73,Burjassot - Godella,,39.5135307312,-0.4119972289,B,
74,Godella,,39.5195045471,-0.4144555628,B,
75,Rocafort,,39.5287094116,-0.4075777829,B,
76,Massarrojos,,39.5366096497,-0.4028777778,B,
77,Moncada - Alfara,,39.5435295105,-0.3884611130,B,
78,Seminari - CEU,,39.5499877930,-0.3897444308,B,
79,Masies,,39.5665817261,-0.4053777754,B,
80,Horta Vella,,39.5819320679,-0.4431444407,C,
81,Eugenia Viñes,,39.4736900330,-0.3257277906,A,
83,Dr. Lluch,,39.4693069458,-0.3281527758,A,
84,La Marina,,39.4728546143,-0.3275833428,A,
85,La Cadena,,39.4752044678,-0.3293749988,A,
86,Serrería,,39.4765930176,-0.3342027664,A,
87,Tarongers,,39.4781379700,-0.3396222293,A,
88,La Carrasca,,39.4796600342,-0.3448249996,A,
89,Universitat Politècnica,,39.4813156128,-0.3504999876,A,
90,Vicente Zaragozá,,39.4833717346,-0.3579472303,A,
91,Primat Reig,,39.4862709045,-0.3677638769,A,
92,Pont de Fusta,,39.4817810059,-0.3731805682,A,
93,Sagunt,,39.4864997864,-0.3749722242,A,
94,Reus,,39.4859657288,-0.3817070127,A,
